Model=1, Fold=1, Epoch=9, Valid ROC AUC=0.507784799382716/0.5136393518518518
Model=1, Fold=2, Epoch=0, Valid ROC AUC=0.7142253858024692/0.7142253858024692
Model=1, Fold=2, Epoch=1, Valid ROC AUC=0.8049631558641975/0.8049631558641975
Model=1, Fold=2, Epoch=2, Valid ROC AUC=0.8341530478395063/0.8341530478395063
Model=1, Fold=2, Epoch=3, Valid ROC AUC=0.8246269290123457/0.8341530478395063
Model=1, Fold=2, Epoch=4, Valid ROC AUC=0.8385478395061728/0.8385478395061728
Model=1, Fold=2, Epoch=5, Valid ROC AUC=0.8445630401234567/0.8445630401234567
Model=1, Fold=2, Epoch=6, Valid ROC AUC=0.8584676697530864/0.8584676697530864
Model=1, Fold=2, Epoch=7, Valid ROC AUC=0.8602097608024691/0.8602097608024691
Model=1, Fold=2, Epoch=8, Valid ROC AUC=0.861170987654321/0.861170987654321
Model=1, Fold=2, Epoch=9, Valid ROC AUC=0.8647927469135801/0.8647927469135801
Model=1, Fold=3, Epoch=0, Valid ROC AUC=0.49946346450617285/0.49946346450617285
Model=1, Fold=3, Epoch=1, Valid ROC AUC=0.49996489197530863/0.49996489197530863
Model=1, Fold=3, Epoch=2, Valid ROC AUC=0.5018891975308641/0.5018891975308641
Model=1, Fold=3, Epoch=3, Valid ROC AUC=0.4961058641975309/0.5018891975308641
Model=1, Fold=3, Epoch=4, Valid ROC AUC=0.49697121913580244/0.5018891975308641
Model=1, Fold=3, Epoch=5, Valid ROC AUC=0.504277237654321/0.504277237654321
Model=1, Fold=3, Epoch=6, Valid ROC AUC=0.49748449074074075/0.504277237654321
Model=1, Fold=3, Epoch=7, Valid ROC AUC=0.5058332561728396/0.5058332561728396
Model=1, Fold=3, Epoch=8, Valid ROC AUC=0.49989972993827153/0.5058332561728396
Model=1, Fold=3, Epoch=9, Valid ROC AUC=0.501434837962963/0.5058332561728396
Model=1, Fold=4, Epoch=0, Valid ROC AUC=0.7522491512345679/0.7522491512345679
Model=1, Fold=4, Epoch=1, Valid ROC AUC=0.7730835648148149/0.7730835648148149
Model=1, Fold=4, Epoch=2, Valid ROC AUC=0.8141895833333332/0.8141895833333332
Model=1, Fold=4, Epoch=3, Valid ROC AUC=0.8206194830246913/0.8206194830246913
Model=1, Fold=4, Epoch=4, Valid ROC AUC=0.8241755401234567/0.8241755401234567
Model=1, Fold=4, Epoch=5, Valid ROC AUC=0.8240771604938273/0.8241755401234567
Model=1, Fold=4, Epoch=6, Valid ROC AUC=0.8443425154320987/0.8443425154320987
Model=1, Fold=4, Epoch=7, Valid ROC AUC=0.84888125/0.84888125
Model=1, Fold=4, Epoch=8, Valid ROC AUC=0.85035/0.85035
Model=1, Fold=4, Epoch=9, Valid ROC AUC=0.8530609182098765/0.8530609182098765
Model=2, Fold=0, Epoch=0, Valid ROC AUC=0.4871240354938272/0.4871240354938272
Model=2, Fold=0, Epoch=1, Valid ROC AUC=0.5003391203703704/0.5003391203703704
Model=2, Fold=0, Epoch=2, Valid ROC AUC=0.49141392746913576/0.5003391203703704
Model=2, Fold=0, Epoch=3, Valid ROC AUC=0.5053077546296296/0.5053077546296296
Model=2, Fold=0, Epoch=4, Valid ROC AUC=0.5078305555555556/0.5078305555555556
Model=2, Fold=0, Epoch=5, Valid ROC AUC=0.5078660108024691/0.5078660108024691
Model=2, Fold=0, Epoch=6, Valid ROC AUC=0.49577611882716044/0.5078660108024691
Model=2, Fold=0, Epoch=7, Valid ROC AUC=0.5021960262345679/0.5078660108024691
Model=2, Fold=0, Epoch=8, Valid ROC AUC=0.5002449845679012/0.5078660108024691
Model=2, Fold=0, Epoch=9, Valid ROC AUC=0.4972010416666667/0.5078660108024691
Model=2, Fold=1, Epoch=0, Valid ROC AUC=0.5149051697530864/0.5149051697530864
Model=2, Fold=1, Epoch=1, Valid ROC AUC=0.49493260030864195/0.5149051697530864
Model=2, Fold=1, Epoch=2, Valid ROC AUC=0.4930616512345679/0.5149051697530864
Model=2, Fold=1, Epoch=3, Valid ROC AUC=0.5109505787037036/0.5149051697530864
Model=2, Fold=1, Epoch=4, Valid ROC AUC=0.5067106095679013/0.5149051697530864
Model=2, Fold=1, Epoch=5, Valid ROC AUC=0.5030659722222223/0.5149051697530864
Model=2, Fold=1, Epoch=6, Valid ROC AUC=0.4939697145061729/0.5149051697530864
Model=2, Fold=1, Epoch=7, Valid ROC AUC=0.49699672067901235/0.5149051697530864
Model=2, Fold=1, Epoch=8, Valid ROC AUC=0.47999841820987654/0.5149051697530864
Model=2, Fold=1, Epoch=9, Valid ROC AUC=0.4970496527777778/0.5149051697530864
Model=2, Fold=2, Epoch=0, Valid ROC AUC=0.5017610339506173/0.5017610339506173
Model=2, Fold=2, Epoch=1, Valid ROC AUC=0.5060604938271605/0.5060604938271605
Model=2, Fold=2, Epoch=2, Valid ROC AUC=0.49898989197530863/0.5060604938271605
Model=2, Fold=2, Epoch=3, Valid ROC AUC=0.49481296296296295/0.5060604938271605
Model=2, Fold=2, Epoch=4, Valid ROC AUC=0.5004310956790123/0.5060604938271605
Model=2, Fold=2, Epoch=5, Valid ROC AUC=0.49705104166666664/0.5060604938271605
Model=2, Fold=2, Epoch=6, Valid ROC AUC=0.501775/0.5060604938271605
Model=2, Fold=2, Epoch=7, Valid ROC AUC=0.4870388888888889/0.5060604938271605
Model=2, Fold=2, Epoch=8, Valid ROC AUC=0.4930913580246914/0.5060604938271605
Model=2, Fold=2, Epoch=9, Valid ROC AUC=0.49011396604938273/0.5060604938271605
Model=2, Fold=3, Epoch=0, Valid ROC AUC=0.5070258101851852/0.5070258101851852
Model=2, Fold=3, Epoch=1, Valid ROC AUC=0.49863267746913575/0.5070258101851852
Model=2, Fold=3, Epoch=2, Valid ROC AUC=0.5015963348765432/0.5070258101851852
Model=2, Fold=3, Epoch=3, Valid ROC AUC=0.5027621913580247/0.5070258101851852
Model=2, Fold=3, Epoch=4, Valid ROC AUC=0.5001242669753087/0.5070258101851852
